id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan
,,20000,20000,20000, 60 months,17.19%,499.1,C,C5,Front desk supervisor,6 years,RENT,47000,Source Verified,Mar-19,Issued,n
,,21225,21225,21225, 60 months,14.74%,502.05,C,C2,ceo,10+ years,MORTGAGE,225000,Not Verified,Mar-19,Issued,n
,,5000,5000,5000, 36 months,17.97%,180.69,D,D1,,n/a,MORTGAGE,62000,Not Verified,Mar-19,Issued,n
,,20000,20000,20000, 36 months,8.19%,628.49,A,A4,Executive Director of Guardian Advantage,1 year,MORTGAGE,200000,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 60 months,15.57%,289.09,C,C3,Computer Operator,5 years,MORTGAGE,49000,Source Verified,Mar-19,Issued,n
,,13500,13500,13500, 36 months,7.56%,420.31,A,A3,Security officer,8 years,RENT,34860,Not Verified,Mar-19,Issued,n
,,25000,25000,25000, 36 months,7.02%,772.16,A,A2,"Vice President, Trade Show",5 years,MORTGAGE,305000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 60 months,12.40%,224.48,B,B4,,n/a,MORTGAGE,38000,Not Verified,Mar-19,Issued,n
,,7000,7000,7000, 36 months,8.81%,221.98,A,A5,Administrative Assistant/Legal Secretary,6 years,MORTGAGE,50000,Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,12.40%,538.74,B,B4,Engineer,10+ years,MORTGAGE,124812,Verified,Mar-19,Issued,n
,,18500,18500,18500, 60 months,13.90%,429.51,C,C1,Social Worker,5 years,MORTGAGE,43000,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,13.90%,409.55,C,C1,QC Manager,< 1 year,MORTGAGE,67500,Verified,Mar-19,Issued,n
,,3000,3000,3000, 36 months,14.74%,103.62,C,C2,Office Manager,4 years,MORTGAGE,58750,Verified,Mar-19,Issued,n
,,24000,24000,24000, 60 months,12.40%,538.74,B,B4,Electrical Engineer,5 years,MORTGAGE,80713,Not Verified,Mar-19,Issued,n
,,12000,12000,12000, 36 months,16.40%,424.26,C,C4,Executive Director,4 years,MORTGAGE,95000,Not Verified,Mar-19,Issued,n
,,10000,10000,10000, 36 months,8.19%,314.25,A,A4,Executive Assistant,10+ years,RENT,72000,Not Verified,Mar-19,Issued,n
,,4000,4000,4000, 36 months,14.74%,138.16,C,C2,Case Packer,5 years,MORTGAGE,50000,Source Verified,Mar-19,Issued,n
